代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
2362,藍天,2023/01/13,2.65,2.65,1.07,1.01,1.12,79.81
2363,矽統,2023/01/13,5.18,3.49,1.65,1.6,0,33.77
2364,倫飛,2023/01/13,1.95,2.27,1.73,5.65,0,53.87
2365,昆盈,2023/01/13,7.84,5.75,2.55,2.53,2.07,31.26
2367,燿華,2023/01/13,5.72,4.31,2.99,1.34,1.47,27.99
2368,金像電,2023/01/13,2.74,4.02,2.14,1.73,1.9,74.76
2369,菱生,2023/01/13,3.91,3.16,2.04,1.62,0.42,29.53
2371,大同,2023/01/13,2.02,1.87,1.15,1.12,0.62,79.82
2373,震旦行,2023/01/13,1.14,1.5,0.18,0.61,0,87.88
2374,佳能,2023/01/13,5.99,4.69,1.59,2.16,1.51,33.97
2375,凱美,2023/01/13,4.31,6.65,3.16,1.29,1.57,14.43
2376,技嘉,2023/01/13,2.45,3.1,2.71,2.16,1.72,63.43
2377,微星,2023/01/13,2.43,3.56,3.38,1.63,2.84,72.91
2379,瑞昱,2023/01/13,4.1,6.43,3.2,4.04,2.4,64.83
2380,虹光,2023/01/13,7.29,5.41,3.92,2.25,1.33,39.05
2382,廣達,2023/01/13,0.88,1.14,0.94,1.03,0.78,86.25
2383,台光電,2023/01/13,3.1,4.19,3.91,2.41,2.95,72.55
2385,群光,2023/01/13,3.31,3.52,3.44,2.14,2.26,71.47
2387,精元,2023/01/13,3.03,2.31,1.5,1.07,3.2,61.6
2388,威盛,2023/01/13,2.11,2.39,1.05,0.82,0.88,70.16
2390,云辰,2023/01/13,3.23,4.24,2.9,0.33,1.4,32.64
2392,正崴,2023/01/13,3.74,2.7,2.01,2.02,0.53,45.17
2393,億光,2023/01/13,3.67,3.95,2.49,2.16,3.08,45.59
2395,研華,2023/01/13,2.44,4.58,3.08,3.7,2.45,79.09
2397,友通,2023/01/13,0.91,1.95,0.42,0.53,0.76,81.56
2399,映泰,2023/01/13,3.99,4.94,2.04,0.87,2.57,17.69
